"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"1","Adiva Desa Parkcity",1500000,3,2,"Condominium (Corner)","Built-up ",1798,2
"2","Adiva Desa Parkcity",2850000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",3211,1
"3","Adiva Desa Parkcity",1050000,2,2,"Condominium","Built-up ",1389,1
"4","Adiva Desa Parkcity",1980000,3,2,"2-sty Terrace/Link House","Built-up ",2200,1
"5","Adiva Desa Parkcity",3490000,5,2,"3-sty Terrace/Link House (Corner)","Land area ",2850,0
"6","Adiva Desa Parkcity",2300000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1826,0
"7","Adiva Desa Parkcity",2500000,4,2,"3-sty Terrace/Link House (EndLot)","Land area ",1650,1
"8","Adiva Desa Parkcity",3170000,4,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",4306,1
"9","Adiva Desa Parkcity",3400000,5,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",5448,1
"10","Adiva Desa Parkcity",5600000,7,2,"3.5-sty Terrace/Link House (Intermediate)","Built-up ",7000,1
"11","Adiva Desa Parkcity",1260000,2,2,"Condominium (Intermediate)","Built-up ",1485,1
"12","Adiva Desa Parkcity",4950000,5,2,"3.5-sty Terrace/Link House (Intermediate)","Land area ",2805,2
"13","Adiva Desa Parkcity",1990000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",2500,1
"14","Adiva Desa Parkcity",1370000,3,2,"Condominium","Built-up ",1572,1
"15","Adiva Desa Parkcity",3480000,4,2,"3-sty Terrace/Link House (Corner)","Land area ",3450,1
"16","Adiva Desa Parkcity",1350000,2,2,"Condominium (Intermediate)","Built-up ",1292,0
"17","Adiva Desa Parkcity",1380000,2,2,"Condominium (Intermediate)","Built-up ",1292,0
"18","Adiva Desa Parkcity",1798000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",2200,1
"19","Adiva Desa Parkcity",2380000,4,3,"Condominium (Corner)","Built-up ",2454,1
"20","Adiva Desa Parkcity",1350000,2,2,"Condominium (Corner)","Built-up ",1389,2
"21","Adiva Desa Parkcity",1780000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",2400,1
"22","Adiva Desa Parkcity",5460000,7,6,"3.5-sty Terrace/Link House (Intermediate)","Built-up ",7000,1
"23","Adiva Desa Parkcity",1480000,3,2,"Condominium (Corner)","Built-up ",1917,2
"24","Adiva Desa Parkcity",1580000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,0
"25","Adiva Desa Parkcity",1300000,2,2,"Condominium (Intermediate)","Built-up ",1367,1
"26","Adiva Desa Parkcity",2750000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1958,1
"27","Adiva Desa Parkcity",2050000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"28","Adiva Desa Parkcity",1200000,2,2,"Townhouse","Built-up ",1400,0
"29","Adiva Desa Parkcity",1730000,3,2,"Condominium (Corner)","Built-up ",1690,1
"30","Adiva Desa Parkcity",1500000,3,2,"Condominium (Intermediate)","Built-up ",1346,1
"31","Adiva Desa Parkcity",2800000,3,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"32","Adiva Desa Parkcity",3280000,4,2,"Bungalow (Intermediate)","Land area ",3200,1
"33","Adiva Desa Parkcity",1500000,3,2,"Condominium (Intermediate)","Built-up ",1400,1
"34","Adiva Desa Parkcity",5500000,6,2,"3.5-sty Terrace/Link House (Intermediate)","Land area ",2805,1
"35","Adiva Desa Parkcity",1180000,2,2,"Condominium","Built-up ",1507,1
"36","Adiva Desa Parkcity",2300000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1826,0
"37","Adiva Desa Parkcity",1990000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"38","Adiva Desa Parkcity",1950000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",2300,1
"39","Adiva Desa Parkcity",3600000,5,2,"Semi-detached House (Corner)","Land area ",5850,1
"40","Adiva Desa Parkcity",1250000,2,2,"Condominium (Intermediate)","Built-up ",1303,1
"41","Adiva Desa Parkcity",2500000,3,3,"3-sty Terrace/Link House (EndLot)","Land area ",1375,1
"42","Adiva Desa Parkcity",1100000,2,2,"Condominium (Intermediate)","Built-up ",1378,1
"43","Adiva Desa Parkcity",1980000,3,3,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"44","Adiva Desa Parkcity",3200000,4,2,"3-sty Terrace/Link House","Built-up ",4300,1
"45","Adiva Desa Parkcity",815000,2,2,"Condominium","Built-up ",1283,0
"46","Adiva Desa Parkcity",2950000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",3082,1
"47","Adiva Desa Parkcity",1850000,3,3,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"48","Adiva Desa Parkcity",1849000,4,2,"2-sty Terrace/Link House","Land area ",1800,0
"49","Adiva Desa Parkcity",2790000,3,2,"2-sty Terrace/Link House","Built-up ",3000,1
"50","Adiva Desa Parkcity",2200000,5,2,"2-sty Terrace/Link House","Land area ",2200,1
"51","Adiva Desa Parkcity",2400000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"52","Adiva Desa Parkcity",2300000,4,3,"Condominium (Corner)","Built-up ",2454,1
"53","Adiva Desa Parkcity",1330000,3,2,"Condominium (Intermediate)","Built-up ",1292,0
"54","Adiva Desa Parkcity",4200000,4,2,"2.5-sty Terrace/Link House (EndLot)","Land area ",2170,1
"55","Adiva Desa Parkcity",5e+06,7,2,"3.5-sty Terrace/Link House (Intermediate)","Land area ",2805,1
"56","Adiva Desa Parkcity",3560000,3,4,"2-sty Terrace/Link House (Corner)","Land area ",3690,1
"57","Adiva Desa Parkcity",2290000,4,2,"2-sty Terrace/Link House","Built-up ",2200,1
"58","Adiva Desa Parkcity",1930000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"59","Adiva Desa Parkcity",1150000,3,2,"Condominium (Corner)","Built-up ",1580,0
"60","Adiva Desa Parkcity",2250000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1826,1
"61","Adiva Desa Parkcity",1830000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"62","Adiva Desa Parkcity",3790000,8,2,"Semi-detached House (Corner)","Land area ",3500,0
"63","Adiva Desa Parkcity",2370000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"64","Adiva Desa Parkcity",3500000,5,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",5448,1
"65","Adiva Desa Parkcity",1990000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"66","Adiva Desa Parkcity",2895000,4,2,"2-sty Terrace/Link House (EndLot)","Land area ",2850,1
"67","Adiva Desa Parkcity",1160000,3,2,"Condominium (Intermediate)","Built-up ",1389,0
"68","Adiva Desa Parkcity",3550000,4,4,"3-sty Terrace/Link House (Intermediate)","Built-up ",4306,1
"69","Adiva Desa Parkcity",1830000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"70","Adiva Desa Parkcity",2200000,4,3,"2-sty Terrace/Link House (Intermediate)","Land area ",2200,1
"71","Adiva Desa Parkcity",3300000,5,4,"Bungalow (Intermediate)","Land area ",3200,0
"72","Adiva Desa Parkcity",3890000,7,4,"Semi-detached House (EndLot)","Land area ",3200,1
"73","Adiva Desa Parkcity",3650000,4,4,"3-sty Terrace/Link House (Intermediate)","Land area ",1870,1
"74","Adiva Desa Parkcity",1600000,5,2,"2.5-sty Terrace/Link House","Land area ",1712,1
"75","Adiva Desa Parkcity",2400000,6,5,"3-sty Terrace/Link House","Land area ",1900,0
"76","Adiva Desa Parkcity",1990000,5,2,"2-sty Terrace/Link House","Land area ",2200,1
"77","Adiva Desa Parkcity",1750000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"78","Adiva Desa Parkcity",2280000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"79","Adiva Desa Parkcity",3380000,4,2,"Bungalow (Corner)","Land area ",3500,1
"80","Adiva Desa Parkcity",1980000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"81","Adiva Desa Parkcity",2400000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1870,1
"82","Adiva Desa Parkcity",2900000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1870,1
"83","Adiva Desa Parkcity",3450000,6,2,"Semi-detached House (Intermediate)","Land area ",3200,1
"84","Adiva Desa Parkcity",1300000,2,2,"Condominium (Corner)","Built-up ",1327,0
"85","Adiva Desa Parkcity",3480000,3,2,"2-sty Terrace/Link House (Corner)","Built-up ",3082,1
"86","Adiva Desa Parkcity",1250000,2,2,"Condominium (Corner)","Built-up ",1327,0
"87","Adiva Desa Parkcity",1730000,3,2,"Condominium (Corner)","Built-up ",1700,1
"88","Adiva Desa Parkcity",1880000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"89","Adiva Desa Parkcity",1180000,2,2,"Condominium","Built-up ",1507,1
"90","Adiva Desa Parkcity",2400000,4,2,"3-sty Terrace/Link House","Land area ",1900,2
"91","Adiva Desa Parkcity",2850000,3,3,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"92","Adiva Desa Parkcity",2850000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",3082,1
"93","Adiva Desa Parkcity",1350000,3,3,"Condominium (Intermediate)","Built-up ",1701,1
"94","Adiva Desa Parkcity",1350000,3,2,"Condominium (Corner)","Built-up ",1680,1
"95","Adiva Desa Parkcity",2600000,4,2,"2-sty Terrace/Link House (Corner)","Land area ",2140,1
"96","Adiva Desa Parkcity",1280000,3,2,"Condominium","Built-up ",1432,1
"97","Adiva Desa Parkcity",850000,2,1,"Condominium","Built-up ",1283,0
"98","Adiva Desa Parkcity",3300000,4,2,"2-sty Terrace/Link House","Built-up ",3200,1
"99","Adiva Desa Parkcity",3400000,4,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",4400,1
"100","Adiva Desa Parkcity",2380000,4,2,"3-sty Terrace/Link House","Land area ",1900,1
"101","Adiva Desa Parkcity",1550000,3,2,"3-sty Terrace/Link House","Built-up ",1900,1
"102","Adiva Desa Parkcity",2800000,3,2,"3-sty Terrace/Link House","Built-up ",3211,1
"103","Adiva Desa Parkcity",3500000,5,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",5448,1
"104","Adiva Desa Parkcity",3150000,4,2,"2-sty Terrace/Link House (Corner)","Built-up ",3000,0
"105","Adiva Desa Parkcity",2900000,4,2,"3-sty Terrace/Link House","Built-up ",3650,1
"106","Adiva Desa Parkcity",3650000,4,2,"3-sty Terrace/Link House","Built-up ",4000,1
"107","Adiva Desa Parkcity",3600000,3,2,"2-sty Terrace/Link House","Land area ",5000,1
"108","Adiva Desa Parkcity",3880000,5,2,"3-sty Terrace/Link House","Land area ",3875,1
"109","Adiva Desa Parkcity",4800000,4,2,"3-sty Terrace/Link House","Built-up ",4400,1
"110","Adiva Desa Parkcity",1580000,3,2,"3-sty Terrace/Link House","Built-up ",1900,1
"111","Adiva Desa Parkcity",6300000,5,2,"Bungalow","Land area ",6800,2
"112","Adiva Desa Parkcity",1580000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Built-up ",2170,0
"113","Adiva Desa Parkcity",1100000,2,2,"Condominium","Built-up ",1378,1
"114","Adiva Desa Parkcity",2990000,5,2,"3.5-sty Terrace/Link House","Built-up ",3500,1
"115","Adiva Desa Parkcity",2800000,4,2,"2-sty Terrace/Link House (EndLot)","Land area ",2850,1
"116","Adiva Desa Parkcity",6200000,6,2,"3.5-sty Terrace/Link House (Corner)","Built-up ",6938,1
"117","Adiva Desa Parkcity",1800000,3,2,"Condominium","Land area ",1797,1
"118","Adiva Desa Parkcity",1300000,3,2,"Condominium","Built-up ",1324,0
"119","Adiva Desa Parkcity",1430000,3,2,"Condominium","Built-up ",1377,0
"120","Adiva Desa Parkcity",1600000,2,2,"Condominium (Corner)","Built-up ",1400,1
"121","Adiva Desa Parkcity",3500000,6,2,"Semi-detached House","Built-up ",3200,1
"122","Adiva Desa Parkcity",1050000,2,2,"Condominium","Built-up ",1389,1
"123","Adiva Desa Parkcity",1530000,3,2,"Condominium","Built-up ",1777,1
"124","Adiva Desa Parkcity",1400000,3,2,"Condominium","Built-up ",1572,1
"125","Adiva Desa Parkcity",1170000,3,2,"Condominium","Built-up ",1389,0
"126","Adiva Desa Parkcity",9e+05,1,2,"Condominium","Built-up ",1283,1
"127","Adiva Desa Parkcity",1600000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,1
"128","Adiva Desa Parkcity",1330000,3,2,"Condominium","Built-up ",1653,1
"129","Adiva Desa Parkcity",2600000,4,2,"3-sty Terrace/Link House","Built-up ",3197,1
"130","Adiva Desa Parkcity",1080000,2,2,"Condominium (Intermediate)","Built-up ",1228,0
"131","Adiva Desa Parkcity",7150000,3,2,"Residential Land","Built-up ",11000,0
"132","Adiva Desa Parkcity",1200000,2,2,"Condominium (Intermediate)","Built-up ",1507,1
"133","Adiva Desa Parkcity",4550000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Built-up ",4471,2
"134","Adiva Desa Parkcity",1900000,3,2,"Condominium","Built-up ",2110,1
"135","Adiva Desa Parkcity",12350000,3,2,"Residential Land","Land area ",19000,0
"136","Adiva Desa Parkcity",1100000,2,2,"Condominium","Built-up ",1378,1
"137","Adiva Desa Parkcity",5300000,5,2,"3-sty Terrace/Link House","Built-up ",6088,1
"138","Adiva Desa Parkcity",1730000,3,2,"Condominium","Built-up ",1690,1
"139","Adiva Desa Parkcity",1180000,2,2,"Condominium","Built-up ",1283,0
"140","Adiva Desa Parkcity",5600000,6,2,"3.5-sty Terrace/Link House","Built-up ",7000,1
"141","Adiva Desa Parkcity",5670000,3,2,"Residential Land","Land area ",9000,0
"142","Adiva Desa Parkcity",2050000,3,2,"2-sty Terrace/Link House","Built-up ",2541,1
"143","Adiva Desa Parkcity",1520000,3,2,"3-sty Terrace/Link House","Built-up ",1900,1
"144","Adiva Desa Parkcity",1980000,3,2,"2-sty Terrace/Link House","Built-up ",2390,1
"145","Adiva Desa Parkcity",989000,3,2,"Condominium","Built-up ",1333,1
"146","Adiva Desa Parkcity",883000,2,2,"Condominium","Built-up ",1283,1
"147","Adiva Desa Parkcity",1208000,3,2,"Condominium","Built-up ",1535,1
"148","Adiva Desa Parkcity",588000,1,2,"Condominium","Built-up ",1283,0
"149","Adiva Desa Parkcity",1130000,2,2,"Condominium","Built-up ",1378,1
"150","Adiva Desa Parkcity",790000,1,2,"Condominium","Built-up ",1283,1
"151","Adiva Desa Parkcity",1350000,2,2,"Condominium","Built-up ",1701,2
"152","Adiva Desa Parkcity",1530000,3,2,"Condominium","Built-up ",2066,1
"153","Adiva Desa Parkcity",1550000,3,2,"Condominium (Intermediate)","Built-up ",1852,1
"154","Adiva Desa Parkcity",2300000,3,2,"2-sty Terrace/Link House (Intermediate)","Built-up ",2600,1
"155","Adiva Desa Parkcity",2350000,3,2,"2-sty Terrace/Link House","Built-up ",2500,1
"156","Adiva Desa Parkcity",8100000,5,2,"Bungalow","Land area ",6900,2
"157","Adiva Desa Parkcity",2250000,3,2,"2-sty Terrace/Link House","Built-up ",2600,0
"158","Adiva Desa Parkcity",2400000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"159","Adiva Desa Parkcity",2850000,3,2,"2-sty Terrace/Link House","Built-up ",3000,1
"160","Adiva Desa Parkcity",3468000,3,2,"2-sty Terrace/Link House","Built-up ",3000,1
"161","Adiva Desa Parkcity",948888,2,2,"Condominium","Built-up ",1283,0
"162","Adiva Desa Parkcity",4e+06,4,2,"3-sty Terrace/Link House","Built-up ",4500,1
"163","Adiva Desa Parkcity",3170000,4,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",4306,1
"164","Adiva Desa Parkcity",1900000,3,2,"Condominium","Built-up ",1800,1
"165","Adiva Desa Parkcity",1400000,2,2,"Condominium","Built-up ",1292,0
"166","Adiva Desa Parkcity",2850000,5,5,"3.5-sty Terrace/Link House (Corner)","Built-up ",3500,1
"167","Adiva Desa Parkcity",1400000,2,2,"Condominium","Built-up ",1292,0
"168","Adiva Desa Parkcity",2990000,5,5,"3.5-sty Terrace/Link House","Built-up ",3600,1
"169","Adiva Desa Parkcity",1900000,3,2,"Condominium","Built-up ",1851,1
"170","Adiva Desa Parkcity",1900000,4,2,"Condominium","Built-up ",1800,1
"171","Adiva Desa Parkcity",2250000,4,2,"3-sty Terrace/Link House (Corner)","Built-up ",2900,1
"172","Adiva Desa Parkcity",4690000,3,2,"Residential Land","Land area ",7300,0
"173","Adiva Desa Parkcity",1820000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,0
"174","Adiva Desa Parkcity",6700000,7,4,"Bungalow (Corner)","Land area ",6200,1
"175","Adiva Desa Parkcity",1180000,3,2,"Condominium (Corner)","Built-up ",1432,1
"176","Adiva Desa Parkcity",2100000,3,3,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"177","Adiva Desa Parkcity",6300000,7,10,"Bungalow (Intermediate)","Land area ",7300,0
"178","Adiva Desa Parkcity",1190000,2,2,"Condominium (Intermediate)","Built-up ",1389,1
"179","Adiva Desa Parkcity",2400000,5,3,"2-sty Terrace/Link House (Intermediate)","Land area ",2200,1
"180","Adiva Desa Parkcity",1550000,3,2,"Condominium (Intermediate)","Built-up ",1346,0
"181","Adiva Desa Parkcity",2300000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"182","Adiva Desa Parkcity",1200000,2,2,"Condominium (Intermediate)","Built-up ",1228,0
"183","Adiva Desa Parkcity",2388000,4,3,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"184","Adiva Desa Parkcity",5500000,7,2,"3.5-sty Terrace/Link House (Intermediate)","Land area ",2805,1
"185","Adiva Desa Parkcity",2080000,3,3,"Condominium (Corner)","Built-up ",1948,1
"186","Adiva Desa Parkcity",1150000,2,2,"Condominium (Intermediate)","Built-up ",1228,0
"187","Adiva Desa Parkcity",1590000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,0
"188","Adiva Desa Parkcity",848000,1,2,"Condominium (Intermediate)","Built-up ",1228,1
"189","Adiva Desa Parkcity",3200000,5,5,"3-sty Terrace/Link House (Corner)","Land area ",1991,0
"190","Adiva Desa Parkcity",2400000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"191","Adiva Desa Parkcity",3200000,4,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",4306,1
"192","Adiva Desa Parkcity",8300000,6,10,"Bungalow (Intermediate)","Land area ",6900,1
"193","Adiva Desa Parkcity",1400000,3,2,"Condominium (Intermediate)","Built-up ",1572,1
"194","Adiva Desa Parkcity",2280000,4,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"195","Adiva Desa Parkcity",2280000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"196","Adiva Desa Parkcity",1580000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,0
"197","Adiva Desa Parkcity",1800000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,0
"198","Adiva Desa Parkcity",830000,1,1,"Condominium (Intermediate)","Built-up ",1228,1
"199","Adiva Desa Parkcity",1880000,3,2,"Condominium","Built-up ",1690,1
"200","Adiva Desa Parkcity",5900000,5,2,"3-sty Terrace/Link House","Built-up ",6207,1
"201","Adiva Desa Parkcity",1450000,3,2,"Condominium","Built-up ",1680,1
"202","Adiva Desa Parkcity",1480000,2,1,"Condominium (Intermediate)","Built-up ",1458,1
"203","Adiva Desa Parkcity",5600000,5,2,"3-sty Terrace/Link House","Built-up ",6088,1
"204","Adiva Desa Parkcity",2500000,4,2,"3-sty Terrace/Link House","Built-up ",3500,1
"205","Adiva Desa Parkcity",790000,1,2,"Condominium","Built-up ",1283,1
"206","Adiva Desa Parkcity",1490000,2,2,"Condominium","Built-up ",1432,0
"207","Adiva Desa Parkcity",1950000,3,2,"Condominium","Built-up ",1948,1
"208","Adiva Desa Parkcity",1550000,2,2,"Condominium","Built-up ",1357,2
"209","Adiva Desa Parkcity",2500000,4,2,"3-sty Terrace/Link House","Built-up ",3228,1
"210","Adiva Desa Parkcity",2500000,5,2,"2-sty Terrace/Link House (Intermediate)","Land area ",2200,1
"211","Adiva Desa Parkcity",2280000,5,2,"2.5-sty Terrace/Link House","Built-up ",1712,1
"212","Adiva Desa Parkcity",3890000,6,2,"Semi-detached House (Corner)","Built-up ",4506,0
"213","Adiva Desa Parkcity",2800000,3,2,"3-sty Terrace/Link House (Intermediate)","Land area ",2796,1
"214","Adiva Desa Parkcity",2800000,4,2,"2-sty Terrace/Link House (EndLot)","Land area ",2850,1
"215","Adiva Desa Parkcity",5200000,5,2,"3.5-sty Terrace/Link House","Land area ",3120,2
"216","Adiva Desa Parkcity",1200000,2,2,"Condominium (Intermediate)","Built-up ",1500,1
"217","Adiva Desa Parkcity",2800000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",3200,1
"218","Adiva Desa Parkcity",1960000,3,3,"2-sty Terrace/Link House","Built-up ",2500,1
"219","Adiva Desa Parkcity",1110000,2,2,"Condominium","Built-up ",1283,1
"220","Adiva Desa Parkcity",5460000,7,6,"3.5-sty Terrace/Link House","Built-up ",7000,1
"221","Adiva Desa Parkcity",1303000,2,2,"Condominium (Corner)","Built-up ",1327,0
"222","Adiva Desa Parkcity",1890000,3,3,"2-sty Terrace/Link House","Land area ",1800,0
"223","Adiva Desa Parkcity",2400000,7,4,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,0
"224","Adiva Desa Parkcity",1410000,2,2,"Condominium (Intermediate)","Built-up ",1292,0
"225","Adiva Desa Parkcity",1650000,3,2,"2.5-sty Terrace/Link House","Built-up ",1900,1
"226","Adiva Desa Parkcity",1450000,3,2,"Townhouse (Intermediate)","Land area ",2262,2
"227","Adiva Desa Parkcity",1880000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,0
"228","Adiva Desa Parkcity",2500000,3,2,"3-sty Terrace/Link House (EndLot)","Built-up ",3218,1
"229","Adiva Desa Parkcity",1100000,2,2,"Condominium (Intermediate)","Built-up ",1378,1
"230","Adiva Desa Parkcity",1100000,2,2,"Condominium (Intermediate)","Built-up ",1228,0
"231","Adiva Desa Parkcity",2750000,3,3,"3-sty Terrace/Link House","Built-up ",3211,1
"232","Adiva Desa Parkcity",1990000,3,2,"2-sty Terrace/Link House","Built-up ",2530,1
"233","Adiva Desa Parkcity",1380000,3,2,"Condominium","Built-up ",1572,1
"234","Adiva Desa Parkcity",938000,3,2,"Townhouse (Corner)","Built-up ",2249,0
"235","Adiva Desa Parkcity",2e+06,3,2,"Condominium","Built-up ",1808,1
"236","Adiva Desa Parkcity",1500000,3,2,"Condominium (Corner)","Built-up ",1850,1
"237","Adiva Desa Parkcity",1550000,3,2,"Condominium (Corner)","Built-up ",1850,1
"238","Adiva Desa Parkcity",1350000,3,2,"Condominium (Intermediate)","Built-up ",1701,1
"239","Adiva Desa Parkcity",890000,2,2,"Condominium (Intermediate)","Built-up ",1228,0
"240","Adiva Desa Parkcity",1320000,3,2,"Condominium (Intermediate)","Built-up ",1572,1
"241","Adiva Desa Parkcity",1080000,3,2,"Condominium (Intermediate)","Built-up ",1389,0
"242","Adiva Desa Parkcity",1450000,3,2,"Condominium","Built-up ",1680,1
"243","Adiva Desa Parkcity",2850000,3,3,"3-sty Terrace/Link House (Intermediate)","Built-up ",3211,1
"244","Adiva Desa Parkcity",1990000,3,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1650,1
"245","Adiva Desa Parkcity",1180000,2,2,"Condominium","Built-up ",1283,0
"246","Adiva Desa Parkcity",2500000,4,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",3400,1
"247","Adiva Desa Parkcity",2150000,3,2,"Condominium (Corner)","Built-up ",1808,1
"248","Adiva Desa Parkcity",2490000,4,2,"3-sty Terrace/Link House (EndLot)","Land area ",2900,2
"249","Adiva Desa Parkcity",1150000,2,2,"Condominium","Built-up ",1283,1
"250","Adiva Desa Parkcity",1550000,3,3,"Condominium","Built-up ",1798,0
"251","Adiva Desa Parkcity",1250000,3,2,"Condominium","Built-up ",1540,0
"252","Adiva Desa Parkcity",1300000,3,2,"Condominium","Built-up ",1454,0
"253","Adiva Desa Parkcity",930000,2,2,"Condominium","Built-up ",1283,0
"254","Adiva Desa Parkcity",2300000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"255","Adiva Desa Parkcity",1300000,3,2,"Condominium (Intermediate)","Built-up ",1582,0
"256","Adiva Desa Parkcity",6200000,7,2,"3.5-sty Terrace/Link House","Land area ",3120,1
"257","Adiva Desa Parkcity",8300000,5,4,"Bungalow","Land area ",6900,0
"258","Adiva Desa Parkcity",4500000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Land area ",2170,2
"259","Adiva Desa Parkcity",6500000,7,2,"3.5-sty Terrace/Link House","Land area ",3120,1
"260","Adiva Desa Parkcity",4600000,3,2,"2.5-sty Terrace/Link House (Intermediate)","Land area ",2170,2
"261","Adiva Desa Parkcity",1270000,3,2,"Condominium","Built-up ",1561,0
"262","Adiva Desa Parkcity",1220000,3,2,"Townhouse","Built-up ",2820,1
"263","Adiva Desa Parkcity",1950000,3,2,"Condominium (Intermediate)","Built-up ",1693,1
"264","Adiva Desa Parkcity",1380000,3,2,"Condominium (Intermediate)","Built-up ",1572,1
"265","Adiva Desa Parkcity",1250000,2,2,"Condominium","Built-up ",1283,0
"266","Adiva Desa Parkcity",1550000,3,2,"Condominium (Corner)","Built-up ",2066,0
"267","Adiva Desa Parkcity",1550000,3,2,"Condominium","Built-up ",2066,0
"268","Adiva Desa Parkcity",1080000,2,2,"Condominium (Intermediate)","Built-up ",1378,0
"269","Adiva Desa Parkcity",1880000,3,3,"Condominium (Corner)","Built-up ",1948,1
"270","Adiva Desa Parkcity",798000,1,1,"Condominium","Built-up ",1283,0
"271","Adiva Desa Parkcity",2290000,3,2,"2-sty Terrace/Link House","Built-up ",2500,1
"272","Adiva Desa Parkcity",1350000,2,2,"Condominium","Built-up ",1357,2
"273","Adiva Desa Parkcity",2600000,5,2,"3-sty Terrace/Link House (Intermediate)","Land area ",1760,1
"274","Adiva Desa Parkcity",1900000,3,2,"2-sty Terrace/Link House (Corner)","Built-up ",2140,1
"275","Adiva Desa Parkcity",1180000,3,2,"Condominium (Corner)","Built-up ",1432,1
"276","Adiva Desa Parkcity",1448000,2,2,"Condominium","Built-up ",1292,1
"277","Adiva Desa Parkcity",1080000,2,2,"Condominium","Built-up ",1283,0
"278","Adiva Desa Parkcity",795000,1,1,"Condominium (Intermediate)","Built-up ",1228,1
"279","Adiva Desa Parkcity",1350000,3,2,"Condominium (Corner)","Built-up ",1701,1
"280","Adiva Desa Parkcity",1550000,3,2,"3-sty Terrace/Link House (Corner)","Built-up ",1945,0
"281","Adiva Desa Parkcity",1600000,3,2,"3-sty Terrace/Link House (Duplex)","Built-up ",1900,0
"282","Adiva Desa Parkcity",1630000,3,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",1900,0
"283","Adiva Desa Parkcity",930000,1,2,"Condominium","Built-up ",1283,1
"284","Adiva Desa Parkcity",1150000,2,1,"Condominium","Built-up ",1283,0
"285","Adiva Desa Parkcity",1180000,3,2,"Condominium","Built-up ",1400,0
"286","Adiva Desa Parkcity",799000,4,2,"2-sty Terrace/Link House (Intermediate)","Land area ",1870,0
